StateCode,Id,Latitude,Longitude,Elevation,TimeZone,PrimaryCity
FL,32445,30.965611,-85.191602,117,-6,MALONE
FL,32446,30.861671,-85.218049,117,-6,MARIANNA
FL,32447,30.760562,-85.257032,117,-6,MARIANNA
FL,32448,30.675239,-85.188658,117,-6,MARIANNA
FL,32449,30.278687,-85.265966,69,-6,WEWAHITCHKA
FL,32452,30.981700,-85.618800,160,-6,NOMA
FL,32455,30.646212,-85.969530,160,-6,PONCE DE LEON
FL,32456,29.841014,-85.237863,7,-5,PORT SAINT JOE
FL,32457,29.826400,-85.304900,7,-5,PORT SAINT JOE
FL,32459,30.361486,-86.159116,193,-6,SANTA ROSA BEACH
FL,32460,30.784079,-84.955468,117,-6,SNEADS
FL,32461,30.158900,-85.660300,193,-6,ROSEMARY BEACH
FL,32462,30.495894,-85.877934,119,-6,VERNON
FL,32463,30.631883,-85.590218,119,-6,WAUSAU
FL,32464,30.848524,-85.975656,160,-6,WESTVILLE
FL,32465,29.989612,-85.201182,7,-6,WEWAHITCHKA
FL,32466,30.374285,-85.527148,33,-6,YOUNGSTOWN
FL,32501,30.424166,-87.221055,39,-6,PENSACOLA
FL,32502,30.410863,-87.209180,39,-6,PENSACOLA
FL,32503,30.462238,-87.217528,39,-6,PENSACOLA
FL,32504,30.480652,-87.194144,39,-6,PENSACOLA
FL,32505,30.454597,-87.258345,39,-6,PENSACOLA
FL,32506,30.391071,-87.349416,39,-6,PENSACOLA
FL,32507,30.347298,-87.378692,39,-6,PENSACOLA
FL,32508,30.351094,-87.302993,39,-6,PENSACOLA
FL,32509,30.472900,-87.336600,39,-6,PENSACOLA
FL,32511,30.404500,-87.291800,39,-6,PENSACOLA
FL,32512,30.352900,-87.324200,39,-6,PENSACOLA
FL,32513,30.421300,-87.216800,39,-6,PENSACOLA
FL,32514,30.538435,-87.212207,39,-6,PENSACOLA
FL,32516,30.421300,-87.216800,39,-6,PENSACOLA
FL,32520,30.418200,-87.216100,39,-6,PENSACOLA
FL,32521,30.421300,-87.216800,39,-6,PENSACOLA
FL,32522,30.421300,-87.216800,39,-6,PENSACOLA
FL,32523,30.421300,-87.216800,39,-6,PENSACOLA
FL,32524,30.421300,-87.216800,39,-6,PENSACOLA
FL,32526,30.502173,-87.361307,39,-6,PENSACOLA
FL,32530,30.598700,-87.031200,15,-6,BAGDAD
FL,32531,30.862499,-86.666683,236,-6,BAKER
FL,32533,30.616440,-87.315274,39,-6,CANTONMENT
FL,32534,30.536989,-87.294486,39,-6,PENSACOLA
FL,32535,30.953492,-87.333408,39,-6,CENTURY
FL,32536,30.769566,-86.594069,236,-6,CRESTVIEW
FL,32537,30.752500,-86.640600,236,-6,MILLIGAN
FL,32538,30.981500,-86.307800,193,-6,PAXTON
FL,32539,30.795111,-86.447027,236,-6,CRESTVIEW
FL,32540,30.393400,-86.495800,236,-6,DESTIN
FL,32541,30.398100,-86.455883,236,-6,DESTIN
FL,32542,30.559590,-86.706730,236,-6,EGLIN AFB
FL,32544,30.420814,-86.701861,236,-6,HURLBURT FIELD
FL,32547,30.467448,-86.643616,236,-6,FORT WALTON BEACH
FL,32548,30.410176,-86.657841,236,-6,FORT WALTON BEACH
FL,32549,30.405700,-86.618800,236,-6,FORT WALTON BEACH
FL,32550,30.391530,-86.351061,193,-6,MIRAMAR BEACH
FL,32559,30.421300,-87.216800,39,-6,PENSACOLA
FL,32560,30.581400,-87.291600,39,-6,GONZALEZ
FL,32561,30.355596,-87.110580,15,-6,GULF BREEZE
FL,32562,30.356900,-87.163600,15,-6,GULF BREEZE
FL,32563,30.400437,-87.052433,15,-6,GULF BREEZE
FL,32564,30.731854,-86.797347,236,-6,HOLT
FL,32565,30.876739,-87.110740,15,-6,JAY
FL,32566,30.427269,-86.885390,15,-6,NAVARRE
FL,32567,30.903844,-86.439234,236,-6,LAUREL HILL
FL,32568,30.873291,-87.458943,39,-6,MC DAVID
FL,32569,30.417556,-86.720655,236,-6,MARY ESTHER
FL,32570,30.799890,-86.985992,15,-6,MILTON
FL,32571,30.664458,-87.199242,15,-6,MILTON
FL,32572,30.632200,-87.039700,15,-6,MILTON
FL,32577,30.741665,-87.401022,39,-6,MOLINO
FL,32578,30.518385,-86.396230,236,-6,NICEVILLE
FL,32579,30.449750,-86.570547,236,-6,SHALIMAR
FL,32580,30.509341,-86.506155,236,-6,VALPARAISO
FL,32583,30.566126,-86.970229,15,-6,MILTON
FL,32588,30.516700,-86.482200,236,-6,NICEVILLE
FL,32591,30.421300,-87.216800,39,-6,PENSACOLA
FL,32601,29.639640,-82.321462,147,-5,GAINESVILLE
FL,32602,29.651400,-82.325200,147,-5,GAINESVILLE
FL,32603,29.650816,-82.355896,147,-5,GAINESVILLE
FL,32604,29.651400,-82.325200,147,-5,GAINESVILLE
FL,32605,29.681288,-82.385641,147,-5,GAINESVILLE
FL,32606,29.684186,-82.442382,147,-5,GAINESVILLE
FL,32607,29.638422,-82.422521,147,-5,GAINESVILLE
FL,32608,29.586076,-82.403135,147,-5,GAINESVILLE
FL,32609,29.757942,-82.275759,147,-5,GAINESVILLE
FL,32610,29.651400,-82.325200,147,-5,GAINESVILLE
FL,32611,29.644871,-82.354374,147,-5,GAINESVILLE
FL,32612,29.655700,-82.327600,147,-5,GAINESVILLE
FL,32614,29.651400,-82.325200,147,-5,GAINESVILLE
FL,32615,29.821385,-82.490936,147,-5,ALACHUA
FL,32616,29.787679,-82.494362,147,-5,ALACHUA
FL,32617,29.305096,-82.076293,99,-5,ANTHONY
FL,32618,29.553908,-82.505358,147,-5,ARCHER
FL,32619,29.744934,-82.849966,56,-5,BELL
FL,32621,29.395978,-82.656880,61,-5,BRONSON
FL,32622,29.920948,-82.310326,150,-5,BROOKER
FL,32625,29.199556,-82.979196,61,-5,CEDAR KEY
FL,32626,29.408306,-82.906874,61,-5,CHIEFLAND
FL,32627,29.647800,-82.309600,147,-5,GAINESVILLE
FL,32628,29.629017,-83.113702,42,-5,CROSS CITY
FL,32631,29.725754,-82.096239,147,-5,EARLETON
FL,32633,29.486800,-82.231500,147,-5,EVINSTON
FL,32634,29.366900,-82.251700,99,-5,FAIRFIELD
FL,32635,29.647800,-82.309600,147,-5,GAINESVILLE
FL,32639,29.233089,-82.746614,61,-5,GULF HAMMOCK
FL,32640,29.588118,-82.089568,147,-5,HAWTHORNE
FL,32641,29.642890,-82.243569,147,-5,GAINESVILLE
FL,32643,29.816758,-82.648925,147,-5,HIGH SPRINGS
FL,32644,29.493700,-82.941800,61,-5,CHIEFLAND
FL,32648,29.552851,-83.258956,42,-5,HORSESHOE BEACH
FL,32653,29.766604,-82.412326,147,-5,GAINESVILLE
FL,32654,29.458740,-82.092649,147,-5,ISLAND GROVE
FL,32655,29.829800,-82.585300,147,-5,HIGH SPRINGS
FL,32656,29.833768,-81.945316,28,-5,KEYSTONE HEIGHTS
FL,32658,29.846654,-82.400791,147,-5,LA CROSSE
FL,32662,29.522380,-82.093830,147,-5,LOCHLOOSA
FL,32663,29.330500,-82.191700,99,-5,LOWELL
FL,32664,29.441088,-82.221224,99,-5,MC INTOSH
FL,32666,29.724643,-82.002428,28,-5,MELROSE
FL,32667,29.552447,-82.313962,147,-5,MICANOPY
FL,32668,29.254058,-82.528160,61,-5,MORRISTON
FL,32669,29.631327,-82.581421,147,-5,NEWBERRY
FL,32680,29.570641,-83.121912,42,-5,OLD TOWN
FL,32681,29.417963,-82.216169,99,-5,ORANGE LAKE
FL,32683,29.310085,-82.784734,61,-5,OTTER CREEK
FL,32686,29.370038,-82.280406,99,-5,REDDICK
FL,32692,29.390700,-83.080062,42,-5,SUWANNEE
FL,32693,29.672705,-82.815040,56,-5,TRENTON
FL,32694,29.790810,-82.142234,147,-5,WALDO
FL,32696,29.394132,-82.470256,61,-5,WILLISTON
FL,32697,29.933435,-82.438962,136,-5,WORTHINGTON SPRINGS
FL,32701,28.663768,-81.367196,20,-5,ALTAMONTE SPRINGS
FL,32702,29.052662,-81.582922,66,-5,ALTOONA
FL,32703,28.662967,-81.517350,106,-5,APOPKA
FL,32704,28.680400,-81.509900,106,-5,APOPKA
FL,32706,28.966348,-81.236644,62,-5,CASSADAGA
FL,32707,28.661596,-81.313890,20,-5,CASSELBERRY
FL,32708,28.681494,-81.276062,20,-5,WINTER SPRINGS
FL,32709,28.480313,-80.985316,106,-5,CHRISTMAS
FL,32710,28.612500,-81.498600,106,-5,CLARCONA
FL,32712,28.731408,-81.507027,106,-5,APOPKA
FL,32713,28.879260,-81.319747,62,-5,DEBARY
FL,32714,28.665334,-81.415734,20,-5,ALTAMONTE SPRINGS
FL,32715,28.660900,-81.365800,20,-5,ALTAMONTE SPRINGS
FL,32716,28.660900,-81.365800,20,-5,ALTAMONTE SPRINGS
FL,32718,28.677600,-81.328200,20,-5,CASSELBERRY
FL,32719,28.677600,-81.328200,20,-5,WINTER SPRINGS
FL,32720,28.987676,-81.400700,62,-5,DELAND
FL,32721,29.027500,-81.305200,62,-5,DELAND
FL,32722,29.093800,-81.354700,62,-5,GLENWOOD
FL,32723,29.036326,-81.304655,62,-5,DELAND
FL,32724,29.095463,-81.233450,62,-5,DELAND
FL,32725,28.882920,-81.252373,62,-5,DELTONA
FL,32726,28.860025,-81.694352,66,-5,EUSTIS
FL,32727,28.852600,-81.685600,66,-5,EUSTIS
FL,32728,28.900500,-81.263900,62,-5,DELTONA
FL,32730,28.653652,-81.343058,20,-5,CASSELBERRY
FL,32732,28.750250,-81.109942,20,-5,GENEVA
FL,32733,28.607200,-81.352700,20,-5,GOLDENROD
FL,32735,28.903536,-81.738820,66,-5,GRAND ISLAND
FL,32736,28.910838,-81.537149,66,-5,EUSTIS
FL,32738,28.908833,-81.185720,62,-5,DELTONA
FL,32739,28.902600,-81.245300,62,-5,DELTONA
FL,32744,28.985613,-81.216873,62,-5,LAKE HELEN
FL,32745,28.750000,-81.670000,20,-5,MID FLORIDA
FL,32746,28.761566,-81.353668,20,-5,LAKE MARY
FL,32747,28.824700,-81.327400,20,-5,LAKE MONROE
FL,32750,28.706389,-81.343062,20,-5,LONGWOOD
FL,32751,28.629622,-81.362945,106,-5,MAITLAND
FL,32752,28.702800,-81.338700,20,-5,LONGWOOD
FL,32753,28.883300,-81.309200,62,-5,DEBARY
FL,32754,28.723069,-80.941661,18,-5,MIMS
FL,32756,28.802700,-81.644600,66,-5,MOUNT DORA
FL,32757,28.729500,-81.633224,66,-5,MOUNT DORA
FL,32759,28.847396,-80.853730,62,-5,OAK HILL
FL,32762,28.670300,-81.208400,20,-5,OVIEDO
FL,32763,28.940703,-81.314389,62,-5,ORANGE CITY
FL,32764,28.867080,-81.061158,62,-5,OSTEEN
FL,32765,28.677140,-81.203574,20,-5,OVIEDO
FL,32766,28.658404,-81.079264,20,-5,OVIEDO
FL,32767,29.015362,-81.484262,66,-5,PAISLEY
FL,32768,28.691800,-81.547700,106,-5,PLYMOUTH
FL,32771,28.832284,-81.299453,20,-5,SANFORD
FL,32772,28.800500,-81.273400,20,-5,SANFORD
FL,32773,28.749288,-81.247778,20,-5,SANFORD
FL,32774,28.948700,-81.298700,62,-5,ORANGE CITY
FL,32775,28.772636,-80.865280,18,-5,SCOTTSMOOR
FL,32776,28.825240,-81.486338,66,-5,SORRENTO
FL,32777,28.764400,-81.630800,106,-5,TANGERINE
FL,32778,28.780344,-81.725048,66,-5,TAVARES
FL,32779,28.734732,-81.412573,20,-5,LONGWOOD
FL,32780,28.547278,-80.853877,18,-5,TITUSVILLE
FL,32781,28.611800,-80.807800,18,-5,TITUSVILLE
FL,32783,28.611800,-80.807800,18,-5,TITUSVILLE
FL,32784,28.927041,-81.649598,66,-5,UMATILLA
FL,32789,28.600180,-81.358351,106,-5,WINTER PARK
FL,32790,28.599800,-81.339700,106,-5,WINTER PARK
FL,32791,28.702900,-81.338700,20,-5,LONGWOOD
FL,32792,28.608664,-81.298946,106,-5,WINTER PARK
FL,32793,28.599800,-81.339700,106,-5,WINTER PARK
FL,32794,28.607800,-81.352700,106,-5,MAITLAND
FL,32795,28.758700,-81.318400,20,-5,LAKE MARY
FL,32796,28.604976,-80.893774,18,-5,TITUSVILLE
FL,32798,28.726867,-81.586232,106,-5,ZELLWOOD
FL,32799,28.627600,-81.359500,20,-5,MID FLORIDA
FL,32801,28.544608,-81.374546,106,-5,ORLANDO
FL,32802,28.538300,-81.379400,106,-5,ORLANDO
FL,32803,28.556902,-81.347116,106,-5,ORLANDO
FL,32804,28.580513,-81.395970,106,-5,ORLANDO
FL,32805,28.527395,-81.408527,106,-5,ORLANDO
FL,32806,28.511746,-81.358173,106,-5,ORLANDO
FL,32807,28.552797,-81.303914,106,-5,ORLANDO
FL,32808,28.580156,-81.440948,106,-5,ORLANDO
FL,32809,28.462617,-81.390323,106,-5,ORLANDO
FL,32810,28.619332,-81.433495,106,-5,ORLANDO
FL,32811,28.514038,-81.442552,106,-5,ORLANDO
FL,32812,28.490201,-81.332839,106,-5,ORLANDO
FL,32814,28.568006,-81.328390,106,-5,ORLANDO
FL,32815,28.691548,-80.715556,18,-5,ORLANDO
FL,32816,28.601567,-81.205061,106,-5,ORLANDO
FL,32817,28.589370,-81.246608,106,-5,ORLANDO
FL,32818,28.590157,-81.496780,106,-5,ORLANDO
FL,32819,28.450127,-81.472588,106,-5,ORLANDO
FL,32820,28.574355,-81.097485,106,-5,ORLANDO
FL,32821,28.384234,-81.481519,106,-5,ORLANDO
FL,32822,28.496139,-81.289707,106,-5,ORLANDO
FL,32824,28.396900,-81.336827,106,-5,ORLANDO
FL,32825,28.525284,-81.221638,106,-5,ORLANDO
FL,32826,28.588667,-81.184937,106,-5,ORLANDO
FL,32827,28.399787,-81.291950,106,-5,ORLANDO
FL,32828,28.520052,-81.165998,106,-5,ORLANDO
FL,32829,28.479382,-81.218440,106,-5,ORLANDO
FL,32830,28.389658,-81.559816,106,-5,ORLANDO
FL,32831,28.474275,-81.141981,106,-5,ORLANDO
FL,32832,28.399958,-81.179566,106,-5,ORLANDO
